Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:03.050176,1,2055718
Triple Duplicate,2020-04-21 16:34:03.050178,1,2060098
Triple Duplicate,2020-04-21 16:34:03.050179,1,2064478
Triple Duplicate,2020-04-21 16:34:03.050182,1,2068858
Triple Duplicate,2020-04-21 16:34:03.050183,1,2073238
Triple Duplicate,2020-04-21 16:34:03.050185,1,2079078
Triple Duplicate,2020-04-21 16:34:03.050187,1,2081998
Triple Duplicate,2020-04-21 16:34:03.050188,1,2086378
Triple Duplicate,2020-04-21 16:34:03.050190,1,2090758
Triple Duplicate,2020-04-21 16:34:03.051693,1,2098058
Triple Duplicate,2020-04-21 16:34:03.051694,1,2100978
Triple Duplicate,2020-04-21 16:34:03.051695,1,2106818
Triple Duplicate,2020-04-21 16:34:03.051697,1,2111198
Triple Duplicate,2020-04-21 16:34:03.051698,1,2114118
Triple Duplicate,2020-04-21 16:34:03.051700,1,2119958
Triple Duplicate,2020-04-21 16:34:03.051701,1,2124338
Triple Duplicate,2020-04-21 16:34:03.051702,1,2127258
Triple Duplicate,2020-04-21 16:34:03.051703,1,2133098
Triple Duplicate,2020-04-21 16:34:03.051705,1,2137478
Triple Duplicate,2020-04-21 16:34:03.052129,1,2144778
Triple Duplicate,2020-04-21 16:34:03.052131,1,2152078
Triple Duplicate,2020-04-21 16:34:03.052132,1,2153538
Triple Duplicate,2020-04-21 16:34:03.060501,1,2160838
